amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,source,source_type,source_class,waterpoint_type
100,Mar-201,Rare,50,Rare,39.13575381,-6.91721257,Kwa Mzee Halaji,Wami / Ruvu,Rare,Dar es Salaam,7,2,Ilala,Kitunda,120,Missing,Private operator,,FALSE,2010,submersible,submersible,submersible,private operator,commercial,pay per bucket,per bucket,salty abandoned,salty,enough,machine dbh,borehole,groundwater,communal standpipe
0,Feb-201,Dhv,583,DWE,37.32846069,-6.19830854,Kipela,Wami / Ruvu,Rare,Morogoro,5,6,Mvomero,Rare,1,TRUE,VWC,,TRUE,1996,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,shallow well,shallow well,groundwater,hand pump
0,Mar-201,Rare,1060.32,Rare,39.13058592,-6.57581989,Shule Ya Msingi Mbweni,Wami / Ruvu,Rare,Dar es Salaam,7,1,Kinondoni,Rare,896,TRUE,Parastatal,,FALSE,1980,submersible,submersible,submersible,parastatal,parastatal,never pay,never pay,soft,good,dry,river,river/lake,surface,communal standpipe
0,Mar-201,Amref,90,AMREF,39.0143027,-7.38294506,Kwa Mwime,Rufiji,Mtunduma,Pwani,60,43,Mkuranga,Rare,150,TRUE,VWC,,FALSE,2001,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,shallow well,shallow well,groundwater,other
0,Mar-201,World Bank,1515,DWE,36.61150392,-3.30292081,Rare,Pangani,Rare,Arusha,2,2,Arusha Rural,Rare,200,TRUE,VWC,Mlimani pipe line,TRUE,2000,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,spring,spring,groundwater,communal standpipe
0,Oct-201,Rare,0,RESOLUTE,33.217086,-4.11942119,Rare,Internal,Ndoba,Tabora,14,1,Nzega,Rare,0,FALSE,Company,Kilimi dam,FALSE,1987,ksb,submersible,submersible,company,commercial,never pay,never pay,coloured,colored,enough,dam,dam,surface,communal standpipe
0,Jul-201,Government Of Tanzania,0,RWE,31.74681849,-1.05799763,Rare,Lake Victoria,Rare,Kagera,18,7,Misenyi,Rare,0,TRUE,VWC,Kan,TRUE,1987,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,spring,spring,groundwater,communal standpipe
1000,Mar-201,Rc Church,2153,Rare,34.40651609,-9.20484007,Kwa Mista Chaula,Rufiji,Rare,Iringa,11,4,Njombe,Rare,55,TRUE,VWC,imalilo water supply scheme,TRUE,2000,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,spring,spring,groundwater,communal standpipe
300,Mar-201,Danida,1060.32,Rare,38.93162107,-6.51016824,Abdalah Abdalah,Wami / Ruvu,Rare,Pwani,6,1,Bagamoyo,Rare,65,TRUE,Company,Bagamoyo wate,TRUE,1994,ksb,submersible,submersible,vwc,user-group,pay monthly,monthly,soft,good,enough,river,river/lake,surface,communal standpipe
1000,Feb-201,Rare,2154,Rare,34.58371839,-9.58742865,Rare,Lake Nyasa,Rare,Iringa,11,4,Njombe,Rare,15,TRUE,VWC,Magang,FALSE,2000,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,spring,spring,groundwater,communal standpipe
1000,Jan-201,Rare,1114,TWESA,30.5805161,-4.57821334,Zahanati,Lake Tanganyika,Rare,Kigoma,16,2,Kasulu,Rare,950,TRUE,Water authority,,FALSE,2005,other,other,other,vwc,user-group,pay annually,annually,salty,salty,enough,machine dbh,borehole,groundwater,other
0,Oct-201,Rare,0,Rare,32.1591137,-5.0830722,Mzee Majanga,Lake Tanganyika,Rare,Tabora,14,4,Urambo,Rare,0,TRUE,VWC,,TRUE,1987,afridev,afridev,handpump,vwc,user-group,never pay,never pay,soft,good,enough,shallow well,shallow well,groundwater,hand pump
0,Mar-201,Government Of Tanzania,1060.32,DWE,39.50114366,-8.51317236,Kuchenga,Ruvuma / Southern Coast,Rare,Lindi,80,13,Kilwa,Rare,40,TRUE,VWC,Songosongo Water supply,TRUE,1975,submersible,submersible,submersible,vwc,user-group,never pay,never pay,salty,salty,insufficient,spring,spring,groundwater,communal standpipe
0,Jul-201,Government Of Tanzania,0,DWE,30.87756824,-1.51734101,Kwarugalabama,Lake Victoria,Rare,Kagera,18,1,Karagwe,Rare,0,TRUE,VWC,Nkwenda water sup,TRUE,1987,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,river,river/lake,surface,communal standpipe
0,Feb-201,Envirocare,275,Envirocare,38.87444204,-7.11890947,Mhaga Primary School,Wami / Ruvu,Kitondwe A,Pwani,60,33,Kisarawe,Rare,330,TRUE,Private operator,,FALSE,2006,gravity,gravity,gravity,private operator,commercial,never pay,never pay,soft,good,insufficient,rainwater harvesting,rainwater harvesting,surface,communal standpipe
0,Feb-201,World Bank,1441,Rare,34.38306775,-4.48522203,Zahanati,Internal,Rare,Singida,13,1,Iramba,Rare,135,TRUE,Parastatal,Mkulu water supply,TRUE,2006,submersible,submersible,submersible,parastatal,parastatal,never pay,never pay,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe multiple
0,Feb-201,Rare,1605,Rare,37.93731415,-4.36927966,Kwa Mzee Gaspa Marimbocho,Pangani,Rare,Kilimanjaro,3,3,Same,Rare,42,FALSE,VWC,Bwambo Water Supply,TRUE,2008,gravity,gravity,gravity,vwc,user-group,never pay,never pay,salty,salty,enough,shallow well,shallow well,groundwater,communal standpipe
0,Jul-201,Hifab,0,Hesawa,33.45349894,-3.11222655,Rare,Lake Victoria,Rare,Mwanza,19,4,Kwimba,Rare,0,TRUE,VWC,,TRUE,1987,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,shallow well,shallow well,groundwater,hand pump
0,Apr-201,Rare,0,Rare,34.17543174,-8.83418892,Kwa Mwangambo,Rufiji,Uvanga,Mbeya,12,7,Mbarali,Rare,0,TRUE,VWC,,TRUE,1987,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,seasonal,river,river/lake,surface,communal standpipe
0,Jan-201,Government Of Tanzania,323,Rare,38.82117354,-10.48889853,Rare,Ruvuma / Southern Coast,Rare,Lindi,8,3,Nachingwea,Rare,1,TRUE,VWC,Chiwindi,FALSE,1979,other,other,other,vwc,user-group,never pay,never pay,unknown,unknown,dry,machine dbh,borehole,groundwater,communal standpipe
500,Feb-201,Unicef,1503,DWE,34.51973087,-8.95918376,Kwa Steven Liandala,Rufiji,Rare,Iringa,11,4,Njombe,Rare,145,TRUE,WUA,wanging'ombe supply scheme,TRUE,1978,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,seasonal,river,river/lake,surface,communal standpipe
0,Feb-201,Wateraid,0,SEMA,32.99065642,-4.67564078,Kalumwa A,Lake Tanganyika,Kalumwa,Tabora,14,1,Nzega,Rare,0,TRUE,VWC,,TRUE,1987,afridev,afridev,handpump,wug,user-group,pay when scheme fails,on failure,soft,good,enough,machine dbh,borehole,groundwater,hand pump
0,Mar-201,Rare,323,RWE,37.63253675,-6.24082093,Kwa Zenet,Wami / Ruvu,Rare,Morogoro,5,6,Mvomero,Rare,1,TRUE,VWC,Borehole,TRUE,1971,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,insufficient,machine dbh,borehole,groundwater,communal standpipe
0,Feb-201,Rare,1615,Rare,35.53061065,-4.22616685,Rare,Internal,Rare,Manyara,21,1,Babati,Rare,320,TRUE,VWC,,TRUE,2004,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,river,river/lake,surface,communal standpipe
0,Mar-201,Government Of Tanzania,0,Government,33.43246884,-8.54134965,Rare,Lake Rukwa,Rare,Mbeya,12,1,Chunya,Rare,0,TRUE,VWC,,TRUE,1987,other,other,other,vwc,user-group,pay per bucket,per bucket,soft,good,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe
3000,Jan-201,Rudep,1184,Rare,31.99432495,-6.74567803,Kwa Festo Gozbert,Lake Rukwa,Rare,Rukwa,15,1,Mpanda,Rare,328,TRUE,VWC,,TRUE,1988,india mark ii,india mark ii,handpump,vwc,user-group,pay annually,annually,soft,good,enough,machine dbh,borehole,groundwater,hand pump
2000,Apr-201,Rare,0,DW,37.28626779,-6.39989867,Kwa Kiziwi,Wami / Ruvu,Rare,Morogoro,5,1,Kilosa,Rare,150,TRUE,VWC,,TRUE,2010,swn 80,swn 80,handpump,vwc,user-group,pay annually,annually,soft,good,enough,shallow well,shallow well,groundwater,hand pump
0,Oct-201,Wateraid,0,Rare,33.23224678,-4.03299951,Rare,Internal,Bujulu,Tabora,14,1,Nzega,Rare,0,TRUE,VWC,,FALSE,1987,afridev,afridev,handpump,vwc,user-group,pay annually,annually,salty,salty,enough,hand dtw,borehole,groundwater,hand pump
0,Jul-201,Rare,0,DWE,31.03832879,-1.80893758,Rare,Lake Victoria,Rare,Kagera,18,1,Karagwe,Rare,0,TRUE,Rare,,TRUE,1987,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe
0,Jul-201,Rare,0,Rare,33.9273272,-9.41998343,Rare,Lake Nyasa,Rare,Mbeya,12,3,Kyela,Rare,0,TRUE,VWC,Makwale water supplied sche,TRUE,1987,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,spring,spring,groundwater,communal standpipe
0,Mar-201,Government Of Tanzania,0,Gove,35.46742528,-6.08071234,Mapind,Internal,Rare,Dodoma,1,6,Bahi,Rare,0,TRUE,VWC,Kigw,TRUE,1987,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe
0,Jul-201,Rare,0,Sengerema Water Department,32.67232168,-2.56531301,Rare,Lake Victoria,Rare,Mwanza,19,5,Sengerema,Rare,0,TRUE,VWC,None,TRUE,1987,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,dry,shallow well,shallow well,groundwater,hand pump
0,Feb-201,Kkkt,1313,Rare,38.00386481,-4.3091374,Rare,Pangani,Rare,Kilimanjaro,3,3,Same,Rare,100,TRUE,VWC,Vumamti,TRUE,2012,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,spring,spring,groundwater,communal standpipe
25,Feb-201,World Bank,1294,Rare,34.5901106,-4.45633578,Rare,Internal,Rare,Singida,13,1,Iramba,Rare,348,TRUE,WUA,Lyelembo water supply,TRUE,2006,submersible,submersible,submersible,wua,user-group,pay per bucket,per bucket,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe multiple
1000,Feb-201,Rare,946,DWE,35.92353909,-10.55932685,Kwa Gingo,Rufiji,Songea A,Ruvuma,10,5,Namtumbo,Msindo,200,TRUE,WUG,,FALSE,1997,swn 80,swn 80,handpump,wug,user-group,pay annually,annually,soft,good,enough,shallow well,shallow well,groundwater,hand pump
0,Aug-201,Government Of Tanzania,0,Rare,33.08152066,-3.00790987,Rare,Lake Victoria,Rare,Mwanza,19,7,Missungwi,Rare,0,Missing,VWC,,TRUE,1987,mono,mono,motorpump,vwc,user-group,never pay,never pay,unknown,unknown,unknown,machine dbh,borehole,groundwater,communal standpipe multiple
20,Mar-201,World Bank,203,Rare,38.11659,-6.74431523,Kwa Bondwa,Wami / Ruvu,Rare,Morogoro,5,2,Morogoro Rural,Rare,400,TRUE,VWC,,TRUE,2002,nira/tanira,nira/tanira,handpump,vwc,user-group,pay per bucket,per bucket,milky,milky,insufficient,shallow well,shallow well,groundwater,hand pump
0,Jul-201,Hesawa,1172,DWE,32.9210858,-1.96944461,Rare,Lake Victoria,Mtakuja,Mwanza,19,1,Ukerewe,Rare,600,TRUE,Rare,,TRUE,1995,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,shallow well,shallow well,groundwater,other
0,Aug-201,Government Of Tanzania,22,DWE,39.05575005,-5.05444221,Rare,Pangani,Rare,Tanga,4,4,Tanga,Rare,50,TRUE,VWC,Mzizima Water Supply,TRUE,2006,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,river,river/lake,surface,communal standpipe
10,Feb-201,Dhv,432,DWE,37.84898779,-6.95250478,Kwa Viteni Masaka,Wami / Ruvu,Kibuko,Morogoro,5,2,Morogoro Rural,Rare,50,TRUE,VWC,,TRUE,1994,swn 80,swn 80,handpump,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,shallow well,shallow well,groundwater,hand pump
0,Feb-201,Government Of Tanzania,1557,DWE,37.42651091,-3.29337699,Komtu,Pangani,Rare,Kilimanjaro,3,4,Moshi Rural,Rare,50,TRUE,VWC,Kidia kIlemapunda,TRUE,1974,gravity,gravity,gravity,vwc,user-group,Rare,Rare,soft,good,enough,spring,spring,groundwater,communal standpipe
300,Feb-201,Rare,779,District Council,37.71674467,-3.78815935,Kwa Mzee Ramadhani Mubarouk,Pangani,Rare,Kilimanjaro,3,2,Mwanga,Rare,160,TRUE,VWC,Ngulu water Supply,FALSE,1993,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,spring,spring,groundwater,communal standpipe
0,Apr-201,Rare,0,Rare,34.37482262,-8.69547142,Kwa Mzee Kidari,Rufiji,Rare,Mbeya,12,7,Mbarali,Rare,0,FALSE,Water Board,,TRUE,1987,gravity,gravity,gravity,water board,user-group,never pay,never pay,coloured,colored,seasonal,river,river/lake,surface,communal standpipe
0,Mar-201,Government Of Tanzania,0,Rare,35.86962883,-6.40888917,Mirika,Rufiji,Rare,Dodoma,1,4,Chamwino,Rare,0,TRUE,VWC,Maka,TRUE,1987,mono,mono,motorpump,vwc,user-group,Rare,Rare,soft,good,dry,machine dbh,borehole,groundwater,communal standpipe multiple
0,Feb-201,World Vision,0,World vision,33.5270184,-2.978953,Along The Colonies Office,Lake Victoria,Rare,Shinyanga,17,2,Maswa,Rare,0,Missing,Rare,,FALSE,1987,gravity,gravity,gravity,Rare,Rare,Rare,Rare,unknown,unknown,unknown,rainwater harvesting,rainwater harvesting,surface,communal standpipe
0,Jan-201,Rare,1060.32,Rare,39.3188491,-8.77630915,Kigombo Dodomezi,Ruvuma / Southern Coast,Rare,Lindi,80,13,Kilwa,Rare,89,TRUE,Rare,,TRUE,2007,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,salty abandoned,salty,enough,shallow well,shallow well,groundwater,hand pump
0,Nov-201,Danida,543,DANIDA,34.65960507,-11.04150813,Kwa Mzee Elikana,Lake Nyasa,Rare,Ruvuma,10,3,Mbinga,Rare,60,TRUE,VWC,DANIDA,TRUE,1992,gravity,gravity,gravity,vwc,user-group,Rare,Rare,soft,good,dry,spring,spring,groundwater,communal standpipe
0,Jul-201,Danida,0,Central government,33.90257837,-9.45557202,Kwa Issa Mwakalilitolo,Lake Nyasa,Rare,Mbeya,12,3,Kyela,Rare,0,TRUE,VWC,ngamanga water supplied sch,TRUE,1987,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Jul-201,The Desk And Chair Foundati,0,The desk and chair foundatio,33.11851428,-2.41641471,Kwa Madundo,Lake Victoria,Rare,Mwanza,19,2,Magu,Rare,0,TRUE,VWC,,TRUE,1987,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,shallow well,shallow well,groundwater,hand pump
0,Feb-201,Rare,1060.32,Rare,39.74288015,-7.97487722,Kinasi,Rufiji,Rare,Pwani,60,60,Mafia,Rare,25,TRUE,VWC,,FALSE,1987,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe
0,Mar-201,Government Of Tanzania,1254,DWE,37.53066743,-3.30214852,Kwa Rafael Msaki,Pangani,Rare,Kilimanjaro,3,4,Moshi Rural,Rare,1,FALSE,VWC,Una mkolowoni,TRUE,1972,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,spring,spring,groundwater,other
0,Apr-201,Rare,0,Rare,33.24818481,-8.84004975,Rare,Lake Rukwa,Rare,Mbeya,12,2,Mbeya Rural,Rare,0,TRUE,VWC,,TRUE,1987,gravity,gravity,gravity,wug,user-group,pay when scheme fails,on failure,soft,good,insufficient,river,river/lake,surface,communal standpipe
0,Oct-201,Rare,0,Rare,33.43399461,-4.42074921,Kwa Mwanangwedere,Internal,Rare,Tabora,14,2,Igunga,Rare,0,TRUE,Water authority,,FALSE,1987,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,salty,salty,enough,machine dbh,borehole,groundwater,communal standpipe
0,Feb-201,Rare,1801,DWE,35.53684395,-8.13141395,Rare,Rufiji,Ulangala,Iringa,11,1,Iringa Rural,Rare,600,TRUE,VWC,,TRUE,2008,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,machine dbh,borehole,groundwater,hand pump
25,Mar-201,Government Of Tanzania,822,Government,37.71944464,-4.10084202,Zahanati,Pangani,Rare,Kilimanjaro,3,3,Same,Rare,400,TRUE,Water authority,Suwasa water supply,TRUE,1971,submersible,submersible,submersible,water authority,commercial,pay per bucket,per bucket,soft,good,insufficient,machine dbh,borehole,groundwater,communal standpipe
50,Jan-201,Rwssp,1134,Rare,34.56237084,-4.089541,Jumanne Msengi,Internal,Shuleni,Singida,13,1,Iramba,Rare,456,TRUE,WUA,RWSSP,TRUE,2008,submersible,submersible,submersible,wua,user-group,pay per bucket,per bucket,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe multiple
0,Mar-201,Roman,1441,Rare,34.70362379,-9.8071243,Rare,Lake Nyasa,Rare,Iringa,11,5,Ludewa,Rare,500,TRUE,VWC,Lugara,FALSE,2008,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,river,river/lake,surface,communal standpipe
0,Jul-201,Rare,0,DWE,31.21821098,-2.87641591,Rare,Lake Tanganyika,Rare,Kagera,18,4,Biharamulo,Rare,0,TRUE,VWC,Kamzunzu Water Supply,TRUE,1987,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,spring,spring,groundwater,communal standpipe
50,Feb-201,Wsdp,1455,Rare,34.55335717,-4.54873104,Rare,Internal,Rare,Singida,13,1,Iramba,Rare,568,TRUE,WUA,Tumuli water supply,TRUE,2010,submersible,submersible,submersible,wua,user-group,pay per bucket,per bucket,soft,good,enough,machine dbh,borehole,groundwater,communal standpipe multiple
250,Jan-201,Government Of Tanzania,1263,DWE,30.05112634,-4.71540383,Zahanati,Lake Tanganyika,Rare,Kigoma,16,2,Kasulu,Rare,230,TRUE,Water authority,Kisuma,TRUE,2012,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,river,river/lake,surface,communal standpipe
0,Feb-201,Rwssp,726,DWE,36.07247636,-10.94738199,Shuleni,Ruvuma / Southern Coast,Rare,Ruvuma,10,5,Namtumbo,Rare,352,TRUE,Parastatal,,FALSE,2008,swn 80,swn 80,handpump,parastatal,parastatal,pay when scheme fails,on failure,soft,good,insufficient,shallow well,shallow well,groundwater,hand pump
0,Mar-201,Danida,1,Rare,38.98954222,-6.52821277,Mwinchum,Wami / Ruvu,Rare,Pwani,6,1,Bagamoyo,Rare,50,TRUE,Company,Bagamoyo wate,TRUE,1985,ksb,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,enough,river,river/lake,surface,communal standpipe
0,Mar-201,Rare,204,Rare,37.76090731,-7.53331176,Shuleni,Wami / Ruvu,Rare,Morogoro,5,2,Morogoro Rural,Rare,100,TRUE,VWC,Selo,TRUE,2001,submersible,submersible,submersible,vwc,user-group,pay when scheme fails,on failure,unknown,unknown,unknown,machine dbh,borehole,groundwater,communal standpipe
0,Aug-201,Hesawa,0,HESAWA,33.03133053,-2.93342656,Mwananga,Lake Victoria,Rare,Mwanza,19,7,Missungwi,Rare,0,TRUE,VWC,,TRUE,1987,other - swn 81,other handpump,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,shallow well,shallow well,groundwater,hand pump
2000,Feb-201,Rare,1062,DWE,35.76358856,-10.47729818,Kwa Peter Mbiru,Lake Nyasa,Rare,Ruvuma,10,5,Namtumbo,Msindo,330,TRUE,VWC,,FALSE,1990,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,river,river/lake,surface,communal standpipe
500,Feb-201,Danida,1929,Commu,34.20411113,-9.39074443,Rare,Lake Nyasa,Rare,Iringa,11,3,Makete,Rare,0,TRUE,VWC,Usagat,FALSE,1994,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,spring,spring,groundwater,communal standpipe
50,Mar-201,Private Individual,101,WU,38.43257934,-6.64319781,Kwa Mkulya,Wami / Ruvu,Rare,Pwani,6,1,Bagamoyo,Rare,30,FALSE,WUA,Chalinze wate,TRUE,2009,ksb,submersible,submersible,private operator,commercial,pay per bucket,per bucket,soft,good,enough,river,river/lake,surface,communal standpipe
25,Jul-201,Rare,1531,Rare,31.04671535,-7.50657355,Kwa Mwansakamile,Lake Tanganyika,Rare,Rukwa,15,3,Nkasi,Rare,1,TRUE,VWC,,FALSE,1993,nira/tanira,nira/tanira,handpump,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,shallow well,shallow well,groundwater,hand pump
0,Mar-201,Rare,0,Rare,36.58748838,-6.24663434,Rare,Wami / Ruvu,Rare,Dodoma,1,3,Kongwa,Rare,0,TRUE,VWC,Ijak,FALSE,1987,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,spring,spring,groundwater,communal standpipe multiple
0,Jul-201,Rare,0,Rare,33.95559442,-9.41918045,Kwa Ambangile Baharia,Lake Nyasa,Rare,Mbeya,12,3,Kyela,Rare,0,TRUE,VWC,Makwale water supplied sche,TRUE,1987,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Mar-201,Rare,0,DWE,37.91415499,-5.51157293,Kwa Kihungwi,Pangani,Kwandilwa,Tanga,4,7,Kilindi,Rare,1,TRUE,VWC,,FALSE,2004,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,dam,dam,surface,other
200,Mar-201,Danida,801,DANIDA,36.04279658,-10.700035,Kwa Rajabu Ponera,Ruvuma / Southern Coast,Rare,Ruvuma,10,5,Namtumbo,Rare,230,TRUE,VWC,Njalamatata water gravity scheme,TRUE,1982,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,seasonal,river,river/lake,surface,communal standpipe
0,Jul-201,Hesawa,0,DWE,31.32226156,-2.63248402,Kamanyola,Lake Tanganyika,Rare,Kagera,18,4,Biharamulo,Rare,0,TRUE,VWC,,TRUE,1987,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,machine dbh,borehole,groundwater,other
1000,Mar-201,Rare,1156,Rare,37.92358323,-4.15260262,Kwa Hosea Raymond,Pangani,Rare,Kilimanjaro,3,3,Same,Rare,25,TRUE,Water authority,Tutu,TRUE,2012,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Jan-201,Rare,0,Rare,33.97517234,-9.43874486,Kwa Askofu Ngenge,Lake Nyasa,Rare,Mbeya,12,3,Kyela,Rare,0,TRUE,VWC,Makwale water supplied sche,TRUE,1987,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,spring,spring,groundwater,communal standpipe
0,Mar-201,Rare,0,Gove,35.44121378,-5.90460028,Rare,Internal,Mabati,Dodoma,1,6,Bahi,Rare,0,TRUE,VWC,,TRUE,1987,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,shallow well,shallow well,groundwater,hand pump
0,Feb-201,Rare,1431,Rare,35.05102106,-4.76424132,Mwighanji Primary,Internal,Rare,Singida,13,2,Singida Rural,Rare,250,TRUE,VWC,,Missing,2000,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,rainwater harvesting,rainwater harvesting,surface,communal standpipe
0,Aug-201,Hesawa,0,HESAWA,33.09594498,-3.00170736,Rare,Lake Victoria,Rare,Mwanza,19,7,Missungwi,Rare,0,Missing,VWC,,TRUE,1987,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,shallow well,shallow well,groundwater,hand pump
500,Mar-201,Rare,1322,Rare,34.59576664,-8.7835385,Kwa Evaristo Mlowe,Rufiji,Rare,Iringa,11,4,Njombe,Rare,208,TRUE,WUA,wanging'ombe supply scheme,TRUE,2009,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,river,river/lake,surface,communal standpipe
10,Mar-201,Rare,1541,Dmdd,35.79724985,-3.27902786,Kwa Herumani Aweda,Internal,Rare,Arusha,24,30,Karatu,Rare,100,TRUE,VWC,Jumuhiya ya watumia  maji,TRUE,2009,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,seasonal,river,river/lake,surface,communal standpipe
0,Apr-201,Government Of Tanzania,1357,DWE,38.29708184,-4.8225822,Rare,Pangani,Rare,Tanga,4,1,Lushoto,Rare,1,TRUE,VWC,Ilente streem,TRUE,1981,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,spring,spring,groundwater,communal standpipe
5000,Mar-201,Danida,1249,DANID,35.82214622,-7.44455765,Rare,Rufiji,Rare,Iringa,11,1,Iringa Rural,Rare,1,TRUE,VWC,Kihoro,TRUE,1987,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,spring,spring,groundwater,communal standpipe
0,Mar-201,Ripat,953,Rare,36.83420253,-3.52811448,Zananati,Pangani,Rare,Arusha,2,2,Arusha Rural,Rare,300,TRUE,Rare,,TRUE,2007,other,other,other,parastatal,parastatal,Rare,Rare,soft,good,seasonal,rainwater harvesting,rainwater harvesting,surface,other
0,Mar-201,Government Of Tanzania,328,DWE,36.27028419,-8.93106593,Kwiro,Rufiji,Kwiro,Morogoro,5,4,Ulanga,Rare,1,Missing,Rare,Sofi Maj,TRUE,1994,gravity,gravity,gravity,Rare,Rare,Rare,Rare,unknown,unknown,unknown,river,river/lake,surface,communal standpipe
100,Feb-201,Rare,1378,Rare,34.65624147,-5.55392839,Rare,Rufiji,Rare,Singida,13,2,Singida Rural,Rare,1,TRUE,VWC,U,Missing,1990,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,machine dbh,borehole,groundwater,communal standpipe
0,Apr-201,Government Of Tanzania,0,Government,32.91903284,-8.61020528,Rare,Lake Rukwa,Rare,Mbeya,12,1,Chunya,Rare,0,TRUE,VWC,,TRUE,1987,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,hand dtw,borehole,groundwater,communal standpipe
250,Jan-201,Dwe,1283,DWE,30.37650093,-4.37044343,Shuleni,Lake Tanganyika,Rare,Kigoma,16,2,Kasulu,Rare,950,TRUE,Water authority,Nyachenda,TRUE,2009,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,spring,spring,groundwater,communal standpipe
0,Oct-201,Rwssp,0,DWE,33.78710295,-3.61786162,Kwa Seko,Internal,Itengeje,Shinyanga,17,8,Kishapu,Rare,0,TRUE,Water authority,Tungu water piped scheme,TRUE,1987,gravity,gravity,gravity,water authority,commercial,pay per bucket,per bucket,soft,good,insufficient,river,river/lake,surface,communal standpipe multiple
